barcode,name,initial_price,price
5907582900214,"BELLE JARDIN KREM  ALOY",15500,18000
5907582900283,"BELLE JARDIN KREM  KOZE",15500,18000
5907582900252,"BELLE JARDIN KREM  BODRIN",15500,18000
614514561072,"ASTIVIJETEL AL ZAXOR",125000,145000
4780024632529,"ROSHA ANTI JIR",11000,18000
4780024632512,"ROSHA ANTI KAZAN",11000,18000
8888202035233,"ERON TALK ATRGUL",19000,25000
8888202026415,"ERON TALK ATRGUL SEREN",19000,25000
4600104034466,"BIO MUC RUSSIYA",24000,35000
4673739450949,"LIKATO SUXOY SHANPUN",35000,45000
8908003747071,"DEBELLE TALK",11000,18000
1425099657581,"ORIFLAME TALK KOK XITOY",11000,18000
4811354694281,"ORIFLAME TALK OQ XITOY",11000,18000
8809085108913,"CC ZANGIMI",200000,215000
8809201181516,"CC RONAS",125000,145000
6972944902860,"NOT TANALKA NABOR",45000,65000
5903416043171,"EVELINE TANALKA",55000,65000
4005900009227,"NIVEA COFT 100",29000,35000
42397991,"NIVEA KARE",42000,45000
40066745,"NIVEA KARE NACHINOY",42000,45000
42300113,"NIVEA KARE  UVLAJNAYISHIY",42000,48000
42355441,"NIVEA KARE  DLYA CHUSTIVITILNIY",42000,45000
6928001842082,"GURUCH KREM DAY",25000,42000
8809136710546,"MIRAKL KREM",28500,35000
6932511223897,"GURUCH KREM ",18000,25000
6932485156665,"KALAGEN KREM XITOY",14500,20000
8809469770002,ANPULA,68000,80000
6928119805504,"ANOR KREM",17000,24000
3600522264675,"LAREAL KREM 45+",68000,74000
6971764150147,"DR RASHEL VITAMIN KREM",31900,45000
6971764150178,"DR RASHEL OQARTIRUVCHI",28000,42000
4600702086737,"CHISTAYA LINIYA KREM36+",38000,48000
6273954029562,"EMELI TANALKA",20000,35000
8809975190301,"DEOPROSE KAREYA",40000,44000
8809240760734,"DEOPROSE KAREYA BODRIN",40000,44000
8809674291026,"4/1 KREM",42000,55000
8809674290968,"4/1 KREM",42000,55000
6972346286933,"M TANALKA",10000,15000
8901138511494,"xemalaya krem",23000,28000
8699009443691,"ctrom dezodrant",25000,35000
6947164160017,"bakirat dezodrant",23000,35000
8809195819174,"prorans zagar",68000,75000
8809733213471,"pink yone up",34000,46000
4780035270109,"meyfu  900",112000,118000
4780016781266,"soch gel",5000,8000
6974452880180,"tovon krem xtoy",3500,8000
5430001881363,"soft sprey",75000,90000
6971764156262,"PILING DOKTOR RASHEL",27700,38000
6971764156811,"MASKA V/C",29800,45000
6971764156828,"MASKA  RETINOL",29800,45000
6971764156804,"MASKA  VAYTIN",29800,45000
6971764156798,"MASKA   X/A",29800,45000
6971764157962,ESTELIN,38800,55000
6971764150857,"24/K GOLD",31900,50000
8680678834859,"MARFOSE SPRE KOK",57000,65000
8681701014798,"MARFOSE SPRE ASAL",57000,65000
8680678831421,"MARFOSE SPRE CARIQ",57000,65000
8681701014774,"MARFOSE SPRE SUPIME",57000,65000
8680678828674,"MARFOSE SPRE SEREN",57000,65000
8681701014781,"MARFOSE SPRE KANDIDSANER",57000,65000
4780022783445,"MAGI NOER UZB",40000,100000
4780022780697,"NARKOTIK UZB",40000,100000
4780022782622,"EXITE UZB",40000,100000
8682665349148,"MOCHNKA MANGO",28300,40000
8964000267080,"XEMANI MAZ",33000,45000
9000101597691,"PERSIL GEL 3.9",123800,138000
4823128005230,"WASH FRE GEL 5L",113960,130000
